Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
The Rookie,1990-12-07,"Veteran cop Nick Pulovski is used to playing musical partners; many of the partners he's had in the past have died on the job, and often as a result of Nick's risky tactics. But the rookie who's been assigned to help Nick bust a carjacking ring is almost as hotheaded as he is … and when Nick gets kidnapped, his newbie partner is his only hope.",5.846,527,en,Action;Crime;Drama;Thriller,120,"Packing years of experience and a .45 automatic, L.A. detective Nick Pulovski figures he's got all the help he needs. He's also got all the help he doesn't need. His new partner is The Rookie.",10000000,21600000,Malpaso Productions;Warner Bros. Pictures,United States of America,English,tt0100514
Mermaids,1990-12-14,"Fifteen-year-old Charlotte Flax is tired of her wacky mom moving their family to a different town any time she feels it is necessary. When they move to a small Massachusetts town and Mrs. Flax begins dating a shopkeeper, Charlotte and her 9-year-old sister, Kate, hope that they can finally settle down. But when Charlotte's attraction to an older man gets in the way, the family must learn to accept each other for who they truly are.",6.702,484,en,Comedy;Drama;Romance,110,Mom is many things... normal isn't one of them.,31000000,35419397,Orion Pictures,United States of America,English,tt0100140
Kindergarten Cop,1990-12-21,"Hard-edged cop John Kimble gets more than he bargained for when he goes undercover as a kindergarten teacher to get the goods on a brutal drug lord while at the same time protecting the man's young son. Pitted against a class of boisterous moppets whose antics try his patience and test his mettle, Kimble may have met his match … in more ways than one.",6.104,2423,en,Comedy,111,"Go ahead, YOU tell him you didn't do your homework.",15000000,201957688,Universal Pictures;Imagine Entertainment,United States of America,English;Español,tt0099938
The Godfather Part III,1990-12-25,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",7.42,6067,en,Crime;Drama;Thriller,162,All the power on earth can't change destiny.,54000000,136766062,Paramount Pictures;American Zoetrope,United States of America,English;Italiano;Deutsch;Latin,tt0099674
Sleeping with the Enemy,1991-01-13,"A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband.",6.495,1033,en,Drama;Crime;Thriller,99,She is a stranger in a small town. She changed her name. Her looks. Her life. All to escape the most dangerous man she's ever met. Her husband.,19000000,175000000,20th Century Fox;Leonard Goldberg Productions,United States of America,English,tt0102945
My Own Private Idaho,1991-02-01,"In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters is a hustler afflicted with narcolepsy. Scott Favor is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant.",7.049,1097,en,Drama,104,"Wherever, whatever, have a nice day.",2500000,6400000,New Line Cinema,United States of America,Deutsch;English;Italiano,tt0102494
Paprika,1991-02-13,"A young country girl comes to town and works in a brothel in order to help her fiance get the money to start his own business. ""Paprika"" is the name given to her by the madam.",6.944,405,it,Drama;Romance,99,Tinto Brass re-opens the closed houses!,0,0,Scena Group;San Francisco Film,Italy,Italiano,tt0098063
The Silence of the Lambs,1991-02-14,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",8.349,15957,en,Crime;Drama;Thriller,119,To enter the mind of a killer she must challenge the mind of a madman.,19000000,272742922,Orion Pictures;Strong Heart,United States of America,English,tt0102926
Nothing but Trouble,1991-02-15,"While attempting to seduce gorgeous lawyer Diane Lightson, wealthy gadabout Chris Thorne agrees to drive her to Atlantic City, N.J. But, when some reckless driving draws the attention of a deeply critical cop, they and the flamboyant ""Brazillionaires"" who tagged along end up in the court of a grotesque and vengeful judge, who has a special vendetta against the wealthy and erudite.",5.3,342,en,Comedy;Adventure,94,All they wanted was a little getaway. All they got was nothing but trouble.,40000000,8500000,Applied Action;Warner Bros. Pictures,United States of America,English,tt0102558
The Doors,1991-03-01,"The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison.",7.122,1390,en,Music;Drama;History,140,The ceremony is about to begin.,38000000,34416893,Carolco Pictures;Bill Graham Films;Imagine Entertainment;Ixtlan,United States of America,English,tt0101761
New Jack City,1991-03-08,"A gangster, Nino, is in the Cash Money Brothers, making a million dollars every week selling crack. A cop, Scotty, discovers that the only way to infiltrate the gang is to become a dealer himself.",6.594,506,en,Thriller;Crime;Drama,97,They're a new breed of gangster. The new public enemy. The new family of crime.,8500000,47624253,"Jacmac Films;Jackson/McHenry Company, The;Warner Bros. Pictures",United States of America,English,tt0102526
The Guyver,1991-03-18,"FBI agent Max Reed witnesses Dr. Tetsu Segawa - a researcher for the mysterious Chronos Corporation - being murdered. Dr. Segawa had stolen an alien device known as ""The Guyver"" from Chronos. College student Sean Barker, whose girlfriend's father was Dr. Segawa, finds the Guyver's hiding spot while watching the forensic team investigating the crime scene.",5.6,164,en,Science Fiction;Action,88,Lost for centuries... only one man can activate it!,3000000,0,New Line Cinema;Imperial Entertainment,United States of America,English,tt0101988
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991-03-22,"The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",6.125,1082,en,Science Fiction;Adventure;Action;Comedy;Family,88,Back by bodacious demand.,25000000,78656813,Orange Sky Golden Harvest;New Line Cinema;Mirage Studios,Hong Kong;United States of America,English,tt0103060
Career Opportunities,1991-03-29,"Josie, the daughter of the town's wealthiest businessman, faces problems at home and wishes to leave town but is disoriented. Her decision is finalized after she falls asleep in a Target dressing room. She awakens to find herself locked in the store overnight with the janitor, Jim, the town ""no hoper"" and liar.",6.903,632,en,Romance;Comedy,83,He took the job that no one wanted... and got the girl that everyone did.,6000000,11336986,Hughes Entertainment,United States of America,English,tt0101545
Hook,1991-04-10,"The boy who wasn't supposed to grow up—Peter Pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. During his trip to see Granny Wendy in London, the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland.",6.834,5182,en,Adventure;Fantasy;Comedy;Family,141,What if Peter Pan grew up?,70000000,300900000,Amblin Entertainment;TriStar Pictures,United States of America,English,tt0102057
Drop Dead Fred,1991-04-19,"When Elizabeth returns to her mother's home after her marriage breaks up, she recreates her imaginary childhood friend, Fred, to escape from the trauma of losing her husband and her job. In between the chaos and mayhem that Fred creates, Elizabeth attempts to win back her husband and return to normality.",5.881,357,en,Comedy;Fantasy;Family,103,Dishes. Relationships. Wind. This guy breaks everything.,6788000,13878334,PolyGram Filmed Entertainment;Working Title Films;Film4 Productions,Germany;United Kingdom;United States of America,English,tt0101775
Toy Soldiers,1991-04-24,"After federal agents arrest a drug czar and put him on trial, the cartel leader's vicious son storms a prep school and takes its students hostage. They rebel against the armed intruders and try to take back their academy by any means necessary.",6.45,319,en,Action;Adventure;Thriller,112,"They've Always been REBELS - TODAY, They Become HEROES.",10000000,15100000,TriStar Pictures;Island World,United States of America,English,tt0103112
What About Bob?,1991-05-17,"Before going on vacation, self-involved psychiatrist Dr. Leo Marvin has the misfortune of taking on a new patient: Bob Wiley. An exemplar of neediness and a compendium of phobias, Bob follows Marvin to his family's country house. Dr. Marvin tries to get him to leave; the trouble is, everyone loves Bob. As his oblivious patient makes himself at home, Dr. Marvin loses his professional composure and, before long, may be ready for the loony bin himself.",6.851,794,en,Comedy,100,Bob's a special kind of friend. The kind that drives you crazy.,35000000,63710000,Touchstone Pictures;Touchwood Pacific Partners 1,United States of America,English,tt0103241
